ダウンロードした時刻：2015/10/04 17:04:43

,宇都宮,宇都宮,宇都宮,宇都宮
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
,,現象なし情報,品質情報,均質番号
2015/9/1,6.0,0,8,1
2015/9/2,2.0,0,8,1
2015/9/3,1.0,0,8,1
2015/9/4,4.0,0,8,1
2015/9/5,0.0,0,8,1
2015/9/6,11.5,0,8,1
2015/9/7,12.5,0,8,1
2015/9/8,29.5,0,8,1
2015/9/9,177.5,0,8,1
2015/9/10,102.5,0,8,1
2015/9/11,5.5,0,8,1
2015/9/12,0.0,0,8,1
2015/9/13,0.0,0,8,1
2015/9/14,0.0,0,8,1
2015/9/15,0,1,8,1
2015/9/16,0.0,0,8,1
2015/9/17,38.0,0,8,1
2015/9/18,1.0,0,8,1
2015/9/19,0.0,0,8,1
2015/9/20,0,1,8,1
2015/9/21,0,1,8,1
2015/9/22,0,1,8,1
2015/9/23,0,1,8,1
2015/9/24,3.5,0,8,1
2015/9/25,25.5,0,8,1
2015/9/26,2.0,0,8,1
2015/9/27,1.5,0,8,1
2015/9/28,0.0,0,8,1
2015/9/29,0,1,8,1
2015/9/30,0,1,8,1
