1309-T,東証,上証50連,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-09,31500,31650,31100,31400,781,24568200
2015-10-08,32150,32600,30700,30700,3460,109493600
2015-10-07,30600,31250,30600,31250,1219,37928950
2015-10-06,31000,31100,30400,30850,1193,36862950
2015-10-05,29810,30150,29810,30000,705,21185790
2015-10-02,29600,29840,29170,29700,1182,34798440
2015-10-01,29700,29950,29460,29700,247,7332630
2015-09-30,29320,30300,29210,29530,1993,59523910
2015-09-29,29680,29740,29140,29470,1286,37903370
2015-09-28,30300,30600,29870,29920,1249,37507550
2015-09-25,30350,30350,29860,30000,346,10400620
2015-09-24,29890,30500,29890,30150,303,9114700
2015-09-18,30200,30700,30050,30500,741,22457400
2015-09-17,30750,31000,30450,30800,2130,65522100
2015-09-16,30150,30250,29930,29970,618,18547180
2015-09-15,30000,30700,29900,30250,1934,58367110
2015-09-14,30850,30900,29960,29960,1225,37110580
2015-09-11,30850,30950,30450,30900,480,14782050
2015-09-10,29750,30850,29560,30700,1018,30732860
2015-09-09,30100,30600,30050,30450,2886,87389750
2015-09-08,28910,29190,28010,28880,1901,54694060
2015-09-07,29120,30300,28770,28980,3925,115307850
2015-09-04,30000,30050,29040,29730,1425,42144610
2015-09-03,30550,30650,29930,30000,1088,32883720
2015-09-02,29700,31200,29600,30200,3510,106580460
2015-09-01,31050,31350,30300,30650,2894,88984900
2015-08-31,32600,32850,30600,31600,2692,85025050
2015-08-28,32800,32800,31800,32450,4835,156694400
2015-08-27,30900,31850,30600,30700,4958,153953450
2015-08-26,30100,30400,28800,30200,3591,107365080
2015-08-25,27600,30500,27600,28920,5239,152008160
2015-08-24,31550,31900,29800,30500,7406,227924170
2015-08-21,32900,33700,32500,32850,6186,203949150
2015-08-20,35550,35550,34450,34450,2262,79100300
2015-08-19,35450,35950,34800,35200,5370,189756150
2015-08-18,37000,37150,36000,36450,4727,172385350
2015-08-17,38350,38350,36750,36950,4077,151836350
2015-08-14,38250,38850,38250,38400,644,24847450
2015-08-13,38150,39250,37950,38250,1940,74845600
2015-08-12,38100,38900,37500,38900,2793,106230400
2015-08-11,39300,39450,38050,38400,3413,132993050
2015-08-10,37600,38750,37600,38700,1780,68406050
2015-08-07,37450,38250,37150,37950,2743,103648450
2015-08-06,37500,37650,37200,37250,1183,44246450
2015-08-05,37800,38000,37000,37200,2512,94149600
2015-08-04,37600,38000,37000,37350,5677,212193700
2015-08-03,38000,39000,37200,37500,4206,159299750
2015-07-31,37500,39400,37400,39400,6223,239942200
2015-07-30,38400,38450,37750,38000,2828,107870250
2015-07-29,39100,39100,37300,37300,7110,269375850
2015-07-28,38250,39150,38000,39000,10853,416849850
2015-07-27,40350,40500,39100,39650,4100,163279350
2015-07-24,41500,41550,40750,41200,4272,176400800
2015-07-23,40150,41700,40150,41500,7909,326706950
2015-07-22,41050,41200,40100,40150,1352,54882350
2015-07-21,41400,41450,40850,41050,4242,174641200
2015-07-17,40000,41100,40000,41100,8093,329171200
2015-07-16,38900,40550,38900,39850,12367,492658000
2015-07-15,39700,40200,38550,38550,7801,308252650
2015-07-14,42000,42000,39500,39650,10926,443745450
2015-07-13,41750,42300,40100,41300,21860,906575750
2015-07-10,40100,42250,39750,41000,43182,1781059900
2015-07-09,36000,39950,35500,39700,31874,1195252350
2015-07-08,40000,40000,37550,37550,43407,1681702100
2015-07-07,40800,41250,39500,40350,31300,1264742250
2015-07-06,39800,41950,39000,40000,88116,3579896650
2015-07-03,39050,40250,37600,39100,41467,1621049600
2015-07-02,40450,41100,39550,39750,20306,818983600
2015-07-01,41700,41850,40750,41400,13737,567231950
2015-06-30,38500,41750,38450,41750,37206,1485814400
2015-06-29,40000,41900,37600,38850,47562,1901048150
2015-06-26,43600,43600,41450,41650,25087,1069897250
2015-06-25,45350,45800,44500,44650,9255,418196650
2015-06-24,45300,45350,44050,44800,10611,476432100
2015-06-23,43650,45250,43150,44150,23141,1018809400
2015-06-22,43300,43850,43200,43700,11682,508328950
2015-06-19,45350,45500,44350,44850,12241,550192200
2015-06-18,46800,47000,45650,45800,7914,366548550
2015-06-17,46350,46650,45900,46500,7018,324687000
2015-06-16,47550,47800,46200,46350,13810,649675500
2015-06-15,48750,49100,47600,48450,5031,243544550
2015-06-12,48750,49100,48500,48900,3553,173363650
2015-06-11,48700,48950,48450,48700,4109,200116550
2015-06-10,48600,49100,48350,48900,10232,499104550
2015-06-09,49700,50100,49050,49150,16809,834182250
2015-06-08,48250,49600,47900,49450,17681,862163700
2015-06-05,47900,49100,46800,48200,19194,923302050
2015-06-04,48000,49000,45500,46750,15933,757773600
2015-06-03,48500,48500,47300,47600,6040,289880650
2015-06-02,48850,48850,47800,48150,8049,389251700
2015-06-01,46100,48000,46000,47800,9565,447865300
2015-05-29,46200,47000,45500,46750,28314,1316166500
2015-05-28,49750,49750,47350,47600,11016,536580250
2015-05-27,49100,49900,49100,49300,11940,589987300
2015-05-26,49700,49950,48700,49400,11789,584562300
2015-05-25,47800,49300,47600,49200,11542,557178100
2015-05-22,45950,47400,45900,47100,8982,419817900
2015-05-21,45900,46350,45600,45950,4823,221424050
2015-05-20,45500,46400,45300,46300,5343,244660350
2015-05-19,42900,45100,42800,44600,7453,327495550
2015-05-18,43400,43850,43350,43350,2893,125932250
2015-05-15,44350,44700,43100,43850,7229,317608400
2015-05-14,44750,44750,44200,44350,3939,175411400
2015-05-13,45600,45600,44850,44950,4410,199499300
2015-05-12,45600,45750,44800,45500,3847,174363450
2015-05-11,46100,46500,44150,45050,9883,447541200
2015-05-08,44150,44700,43250,44100,7745,340764500
2015-05-07,44400,44800,44000,44150,14365,637156300
2015-05-01,46700,46900,46050,46150,8853,411008350
2015-04-30,48000,48250,47350,47600,6560,313467200
2015-04-28,47800,48650,47700,48400,11663,562037100
2015-04-27,46600,47500,46500,47450,7569,356026100
2015-04-24,47300,47500,46050,46600,9084,425386450
2015-04-23,47150,47700,46850,47700,9979,472318250
2015-04-22,46100,46350,45750,46350,7260,334710800
2015-04-21,44400,45350,44400,44950,9409,421970300
2015-04-20,44450,46150,44250,44250,16464,742662150
2015-04-17,45150,46500,45100,46450,12840,588318850
2015-04-16,43350,44750,43050,44550,7407,325923250
2015-04-15,43450,43750,43050,43600,4675,202450450
2015-04-14,43400,43900,43100,43250,6968,302596550
2015-04-13,42650,43400,42550,43300,5884,252727150
2015-04-10,41750,42500,41700,42400,4629,195136750
2015-04-09,41850,42300,41550,41750,7020,293741300
2015-04-08,41000,41600,40800,41450,6152,253266350
2015-04-07,40100,40850,40100,40650,5632,227946750
2015-04-06,39750,40050,39750,39950,1225,48903150
2015-04-03,39450,39950,39350,39750,2162,85570100
2015-04-02,39900,40100,39050,39150,4061,161429600
